UF,Estado,Localidade,Faixa de CEP,CEP Inicial,CEP Final,Situação,Tipo de Faixa
AC,Acre,Acrelândia,69945-000 a 69949-999,69945000,69949999,Não codificada por logradouros,Total do município
AC,Acre,Assis Brasil,69935-000 a 69939-999,69935000,69939999,Não codificada por logradouros,Total do município
AC,Acre,Brasiléia,69932-000 a 69933-999,69932000,69933999,Não codificada por logradouros,Total do município
AC,Acre,Bujari,69926-000 a 69926-999,69926000,69926999,Não codificada por logradouros,Total do município
AC,Acre,Capixaba,69931-000 a 69931-999,69931000,69931999,Não codificada por logradouros,Total do município
AC,Acre,Cruzeiro do Sul,69980-000 a 69981-999,69980000,69981999,Não codificada por logradouros,Total do município
AC,Acre,Epitaciolândia,69934-000 a 69934-999,69934000,69934999,Não codificada por logradouros,Total do município
AC,Acre,Feijó,69960-000 a 69969-999,69960000,69969999,Não codificada por logradouros,Total do município
AC,Acre,Jordão,69975-000 a 69979-999,69975000,69979999,Não codificada por logradouros,Total do município
AC,Acre,Mâncio Lima,69990-000 a 69999-999,69990000,69999999,Não codificada por logradouros,Total do município
AC,Acre,Manoel Urbano,69950-000 a 69954-999,69950000,69954999,Não codificada por logradouros,Total do município
AC,Acre,Marechal Thaumaturgo,69983-000 a 69984-999,69983000,69984999,Não codificada por logradouros,Total do município
AC,Acre,Plácido de Castro,69928-000 a 69929-999,69928000,69929999,Não codificada por logradouros,Total do município
AC,Acre,Porto Acre,69927-000 a 69927-999,69927000,69927999,Não codificada por logradouros,Total do município
AC,Acre,Porto Walter,69982-000 a 69982-999,69982000,69982999,Não codificada por logradouros,Total do município
AC,Acre,Rio Branco,69900-001 a 69924-999,69900001,69924999,Codificado por logradouros,Total do município
AC,Acre,Rio Branco,69900-001 a 69923-999,69900001,69923999,Codificada por logradouros,Exclusiva da sede urbana
AC,Acre,Rodrigues Alves,69985-000 a 69989-999,69985000,69989999,Não codificada por logradouros,Total do município
AC,Acre,Santa Rosa do Purus,69955-000 a 69959-999,69955000,69959999,Não codificada por logradouros,Total do município
